YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2007,16,124283,10991,Craigslist 
2010,13,99033,9888,Craigslist 
2000,23,132000,4500,Craigslist 
2020,3,39188,30500,Craigslist
2013,10,112314,13500,Craigslist 
2015,8,102138,17461,CarGurus
2021,2,24059,25500,CarGurus
2014,9,109770,11788,CarGurus
2008,15,158705,7950,CarGurus
2001,22,229684,4450,CarGurus
2019,4,88481,21962,Autotrader
1999,24,365000,4100,Autotrader
2018,5,68089,22998,Autotrader
2006,17,99063,10990,Autotrader
2022,1,19767,32789,Autotrader