Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
1/26,Friday,2.00,Clipper Card ,Travel,Debit,Need
1/27,Saturday,9.99,Apple Storage ,Bills,Debit,Need
1/27,Saturday,3.99,Bread,Food,Debit,Want
1/28,Sunday,13.89,Oori ,Food,Debit,Want
1/28,Sunday,7.71,Frog Plush,Entertainment and Recreation,Debit,Want
1/28,Sunday,10.50,Gelato Ice Cream,Food,Debit,Want
1/29,Monday,27.05,Chinese Food,Food,Debit,Want
1/29,Monday,12.46,Highlighter,Entertainment and Recreation,Debit,Want
1/30,Tuesday,15.00,Cash,Financial goals and Savings,Cash,Savings
1/31,Wednesday,18.29,Chipotle,Food,Debit,Want
2/1,Thursday,4.00,Clipper Card ,Travel,Debit,Need
2/2,Friday,3.99,Prime Video,Entertainment and Recreation,Debit,Want
2/2,Friday,20.89,Costco Groceries ,Food,Debit,Need
2/2,Friday,43.51,Books,Entertainment and Recreation,Debit,Want
2/3,Saturday,46.23,Jewlery Gift,Entertainment and Recreation,Debit,Want
2/4,Sunday,13.11,Amazon Subscription,Entertainment and Recreation,Debit,Want
2/4,Sunday,29.45,Chipotle,Food,Debit,Want